Date,Total_Energy_kWh,Average_Power_W,Maximum_Power_W,Average_Temperature,Average_Irradiance
2017-01-01,0.0,,,2.5199305555555553,157.6625
2017-01-02,0.0,,,3.262722222222222,43.74722222222222
2017-01-03,0.8000532801310222,93.75624376535417,157.658935546875,3.506715277777778,146.13819444444445
2017-01-04,0.8985330757141116,103.67689335162825,169.523620605469,4.471958333333333,163.76319444444445
2017-01-05,1.0187070800781255,117.99695908240835,183.976409912109,5.628069444444445,186.69097222222223
2017-01-06,0.38149325459798195,108.99807274228056,176.87255859375,2.1601875,185.49166666666667
2017-01-07,0.0,,,-0.32105555555555554,163.5388888888889
2017-01-08,0.0,,,-0.8104166666666667,126.04375
2017-01-09,0.8036148602803552,113.45150968663837,166.071090698242,-0.10471527777777777,161.00277777777777
2017-01-10,0.046996602121988945,6.211004685725411,12.3255157470703,0.2695496129486277,8.017593244194229
2017-01-11,0.08387027384440109,10.892243356415726,19.4861755371094,-0.3709861111111111,14.279861111111112
2017-01-12,0.09238563791910813,11.819058155962662,23.2415161132813,0.41591666666666666,16.01736111111111
2017-01-13,0.49866197001139345,57.98395000132482,184.553863525391,1.4702638888888888,86.28125
2017-01-14,0.7435505302429202,85.62961960571057,217.012802124023,4.160576388888889,137.3486111111111
2017-01-15,0.9287558926900232,106.34609458282709,173.770874023438,4.056805555555556,172.5222222222222
2017-01-16,1.0299671384175624,115.9437679269301,178.794006347656,2.194472222222222,190.71319444444444
2017-01-17,0.619482173919678,71.06870064088083,176.022720336914,3.460083333333334,114.33611111111111
2017-01-18,0.9617733174641931,108.67495112589754,171.650390625,2.8662847222222223,177.8111111111111
2017-01-19,0.9111286188761394,102.95238631368805,166.085037231445,3.4119583333333336,169.13125
2017-01-20,0.8675790278116864,96.39766975685404,157.248962402344,3.0236041666666664,159.4611111111111
2017-01-21,0.8872389864603681,97.67768658279282,157.022583007813,2.766138888888889,163.42013888888889
2017-01-22,1.0044689839680996,111.40136605930866,176.435577392578,3.7728055555555557,185.64375
2017-01-23,0.8531949139912925,93.41550153189334,162.186889648438,4.416993055555555,156.09027777777777
2017-01-24,0.9646152679443364,107.17947421603738,170.737457275391,5.04225,180.26319444444445
2017-01-25,0.8114097506205245,118.4539781927773,170.73095703125,4.368104166666667,179.92569444444445
2017-01-26,0.9547659111022953,104.72752224156804,166.813171386719,2.3379375000000002,175.78194444444443
2017-01-27,0.4921791641235353,53.208558283625436,161.378173828125,2.8612361111111113,86.95972222222223
2017-01-28,0.48792561492919934,52.84392941471473,145.149749755859,2.7133333333333334,87.35277777777777
2017-01-29,0.7281955726623537,79.00856122918847,134.958847045898,3.3994722222222222,136.98611111111111
2017-01-30,0.18148918685913093,20.392043467318082,96.337890625,4.24625,31.471527777777776
2017-01-31,0.061722863515218135,7.699317694206004,16.4447021484375,4.569791666666666,10.842361111111112
2017-02-01,0.07709890365600591,9.498838232772801,19.9052581787109,4.885520833333333,13.18125
2017-02-02,0.02915986378987631,4.256914421879753,13.5520477294922,5.625965277777778,5.406944444444444
2017-02-03,0.10862835769653327,14.84670036854669,71.9354248046875,6.360458333333333,18.448611111111113
2017-02-04,0.0,,,6.004694444444445,12.488888888888889
2017-02-05,0.06077029571533206,7.441260699836579,32.4583282470703,3.389527777777778,9.886111111111111
2017-02-06,0.31852486038208017,33.52893267179791,112.447204589844,5.862145833333333,52.105555555555554
2017-02-07,0.7981719515482588,82.1446262313817,244.209594726563,8.226805555555556,141.78541666666666
2017-02-08,0.14760226008097335,16.014711762854255,41.8326416015625,6.480833333333333,24.422916666666666
2017-02-09,0.3377162958780925,38.01684381366895,197.106857299805,5.8476016830294535,58.22291666666667
2017-02-10,5.181427001953127e-05,0.777214050292969,0.813156127929688,3.9128819444444445,12.090277777777779
2017-02-11,0.0,,,5.574826388888889,16.87152777777778
2017-02-12,0.0,,,6.624388888888889,33.384027777777774
2017-02-13,0.0,,,5.906979166666666,41.80486111111111
2017-02-14,0.0,,,8.466916666666666,170.23333333333332
2017-02-15,0.947353599039714,134.05947156222368,192.466781616211,8.068027777777777,227.42152777777778
2017-02-16,1.1837679087320971,115.86635322010738,183.968124389648,9.231423611111111,222.58263888888888
2017-02-17,0.9842303067525233,96.33575596272658,225.578842163086,9.810263888888889,180.80138888888888
2017-02-18,0.9688033022562665,94.67133246803907,182.738464355469,6.881881944444444,181.5986111111111
2017-02-19,0.5926493652343753,60.888633414490606,179.831466674805,6.0844652777777775,108.73541666666667
2017-02-20,0.4813335332234703,48.70153793154843,171.573486328125,4.418027777777778,86.57291666666667
2017-02-21,0.9015265538533533,88.67474300196918,218.729782104492,7.021833333333333,165.44027777777777
2017-02-22,0.5909420069376629,58.5091095977884,193.888092041016,7.366076388888889,106.54166666666667
2017-02-23,0.15722805379231777,16.667284854309305,63.3805541992188,7.487131944444444,26.564583333333335
2017-02-24,0.31921295191446947,33.25134915775723,103.999450683594,9.597388888888888,54.68263888888889
2017-02-25,1.1666898788452151,111.1133217947824,227.206420898438,9.027743055555556,217.05902777777777
2017-02-26,1.1999998484293621,111.1110970767928,206.109130859375,8.80136111111111,223.45902777777778
2017-02-27,0.740908106740316,73.96753145494004,212.732208251953,8.410097222222223,140.34444444444443
2017-02-28,0.03040641428629558,3.8899463905708633,10.2391662597656,7.7117708333333335,6.5
2017-03-01,1.4509848088582362,134.1434337927491,213.155776977539,10.723902777777777,273.57430555555555
2017-03-02,1.3045464157104496,120.97802927763057,201.152984619141,10.657430555555557,246.11041666666668
2017-03-03,0.010874526468912769,10.038024432842557,26.2997283935547,8.875479166666667,26.715972222222224
2017-03-04,0.0,,,9.116743055555556,40.61666666666667
2017-03-05,0.0,,,10.197125,151.45347222222222
2017-03-06,0.5229779050191246,67.62645323523162,229.011932373047,9.172062500000001,125.275
2017-03-07,1.5265029111226405,137.7295859659525,224.375457763672,11.46575,280.14930555555554
2017-03-08,1.3587401008605964,121.13581879886446,219.686706542969,11.453166666666668,254.15694444444443
2017-03-09,1.4002072591145838,125.95567548257124,207.848236083984,12.461770833333334,264.7708333333333
2017-03-10,1.4972544296264654,132.50039200234207,218.299606323242,15.394625,293.06666666666666
2017-03-11,1.434199251556397,125.80695189091202,211.933959960938,12.6913125,271.51458333333335
2017-03-12,1.3279809359232593,116.83116738327793,206.84619140625,11.795868055555555,248.13958333333332
2017-03-13,1.401718629455567,121.3609202991833,205.556945800781,10.85142361111111,264.56875
2017-03-14,1.3683325350443527,118.9854378299437,210.141632080078,12.538270833333334,259.8125
2017-03-15,1.164333852132162,98.39441003933763,228.542556762695,13.84570138888889,213.77013888888888
2017-03-16,1.0243206309000656,104.52251335714955,183.468978881836,13.604354166666667,231.61041666666668
2017-03-17,1.2952566930135097,111.02200225830082,193.471984863281,13.672270833333332,250.9326388888889
2017-03-18,1.0874656468709316,94.837120366651,231.087158203125,13.652263888888887,201.11527777777778
2017-03-19,1.036511493937175,89.22624051109109,214.574157714844,14.537444444444443,192.93333333333334
2017-03-20,0.7541394920349124,65.19937971483392,192.672729492188,14.590659722222222,138.91875
2017-03-21,0.4235873555501303,37.5965108476447,148.265182495117,14.274722222222222,74.24652777777777
2017-03-22,0.0004007863362630209,0.8015726725260418,0.867950439453125,12.629097222222223,58.795138888888886
2017-03-23,0.0,,,12.071340277777777,35.32013888888889
2017-03-24,0.0,,,12.3844375,44.5375
2017-03-25,0.0,,,13.953277777777778,261.9715277777778
2017-03-26,0.0,,,11.132920289855072,160.75289855072464
2017-03-27,1.1155816248575852,141.21286390602344,249.155639648438,12.04479861111111,264.93819444444443
2017-03-28,1.5299109392801928,125.5740853034358,210.539443969727,13.585111111111113,296.7236111111111
2017-03-29,1.4285902140299487,121.75484778664335,198.751281738281,16.06786111111111,287.28055555555557
2017-03-30,1.4117345975240077,114.93090346192736,201.156372070313,17.558479166666665,275.52708333333334
2017-03-31,1.392341470845541,112.892551690179,202.037109375,17.89445652173913,281.1630434782609
2017-04-01,1.0176214782714847,83.52570273090163,216.447021484375,16.053131944444445,195.0875
2017-04-02,0.7233623357137046,63.17574984399166,237.249298095703,14.313527777777777,129.9611111111111
2017-04-03,1.56673841679891,125.33907334391282,212.755966186523,16.85295138888889,305.68611111111113
2017-04-04,1.3833633300781254,243.40703755040326,59700.9507751465,17.09409722222222,237.1638888888889
2017-04-05,1.3332293655395513,108.68717653855037,243.490844726563,13.718590277777778,247.59791666666666
2017-04-06,0.33270717086792,89.11799219676428,178.828125,15.258298611111112,303.0152777777778
2017-04-07,1.0355581512451175,80.79777512965806,176.024810791016,14.915069444444445,186.2513888888889
2017-04-08,1.542683528900147,119.89768359327569,210.400756835938,16.487270833333334,299.45208333333335
2017-04-09,1.4845797922770188,115.83197338962435,200.699066162109,17.66763888888889,288.0340277777778
2017-04-10,1.1356798192342126,134.665591213543,201.720275878906,18.970314685314683,284.2923076923077
2017-04-11,0.0,,,18.70055754110079,263.8534667619728
2017-04-12,0.0,,,17.722965277777778,269.0388888888889
2017-04-13,1.5575377006530766,119.50417140560691,218.820648193359,17.486118055555554,298.64375
2017-04-14,1.4890686370849615,114.10487640497789,219.783111572266,16.970506944444445,289.46944444444443
2017-04-15,1.105606005350749,84.61270449112874,228.908386230469,17.008340277777776,210.68125
2017-04-16,1.5940824028015146,121.37683270062294,216.690399169922,17.992451388888888,314.5888888888889
2017-04-17,1.356330841827393,102.88223831813346,268.540390014648,14.704652777777778,259.7451388888889
2017-04-18,0.30552525329589847,63.2121213715652,223.027587890625,12.261415492957745,181.67323943661972
2017-04-19,1.4491534550984704,108.95890639838125,275.031768798828,11.00086111111111,272.1048611111111
2017-04-20,1.7280301971435552,128.95747739877277,225.28889465332,11.611145833333333,335.43958333333336
2017-04-21,1.7032374928792322,126.63475783488715,222.68359375,12.211229166666666,328.7861111111111
2017-04-22,1.66091663945516,123.18293988542595,217.111297607422,13.947319444444444,324.59375
2017-04-23,1.631741697184245,120.57204658996886,248.000122070313,15.414111111111112,314.8854166666667
2017-04-24,0.4606284838358562,35.162479682126424,206.608337402344,14.332930555555555,78.87361111111112
2017-04-25,0.0,,,13.647199074074074,2.2916666666666665
2017-04-26,0.00685732396443685,0.7605165210096322,0.859939575195313,10.951318181818182,30.65681818181818
2017-04-27,0.009824705505371095,0.753813721639726,0.87799072265625,12.130388888888888,45.95625
2017-04-28,0.010560140991210939,0.7579048558285363,0.921035766601563,11.861083333333333,314.19444444444446
2017-04-29,0.010426689402262372,0.7386084582476297,0.893051147460938,12.892736111111113,322.0875
2017-04-30,0.010175005086263024,0.726786077590216,0.897750854492188,14.08164492753623,322.40942028985506
2017-05-01,0.01036523869832357,0.7659043373145494,0.894973754882813,10.0434375,26.150694444444444
2017-05-02,1.198993872070313,140.5070943832398,251.234802246094,10.819006944444444,274.95625
2017-05-03,0.31179928232828785,40.936448445727066,241.150924682617,11.462275711159737,106.21225382932167
2017-05-04,0.8623789876302085,68.26218899447561,276.141296386719,12.386680555555555,161.03680555555556
2017-05-05,1.7216425880432136,122.24681098531694,220.650024414063,14.9890625,332.4902777777778
2017-05-06,0.2993945607503256,22.204788189146523,202.306945800781,13.433583333333333,48.9375
2017-05-07,0.5500023503621422,39.00725889093207,146.328552246094,12.88786111111111,94.0875
2017-05-08,1.1007186574300134,80.05226599491007,279.495254516602,16.294916666666666,207.88472222222222
2017-05-09,1.4630490152994797,103.88513718102814,259.48974609375,16.79047222222222,290.4138888888889
2017-05-10,1.138335509236654,82.3885772668266,275.715087890625,15.415819444444443,208.54305555555555
2017-05-11,0.46439182434082044,34.74253049931325,165.724273681641,14.322083333333333,77.8013888888889
2017-05-12,0.7596780614217126,56.203062497290695,270.214965820313,16.012305555555557,134.44791666666666
2017-05-13,1.6836013165791837,118.56347299853407,217.606262207031,17.541,330.6375
